,QT_MAT_FUND,QT_MAT_FUND_AF,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_ESP,QT_TUR_ESP_CC,QT_MAT_BAS
QT_MAT_FUND,1.0,0.8390383718841249,0.7580533519797592,0.8332152553405985,0.6142915608451338,0.6087584641141415,0.6856583092495162,0.89813581413527,0.3448587170584539,0.7891805918025969,0.3838945135911808,0.7339306937272885,0.943518716480007,0.7101709070865857,0.710101269768724,0.7977580856503144,0.9634757681276714,0.7225153514049957,0.7228547495194803,0.8020148847221334
QT_MAT_FUND_AF,0.8390383718841249,1.0,0.6859118926749316,0.7393565652600699,0.5536857485640864,0.5366638884075815,0.6132240843821031,0.9740399622962086,0.4794011236726806,0.6783615986357597,0.4216833068151912,0.6394746627413861,0.8009596488478095,0.681441547234234,0.6815291630251801,0.6340158436121556,0.7240833043527439,0.5248300649646981,0.5253187271145203,0.7184597604351759
QT_MAT_BAS_FEM,0.7580533519797592,0.6859118926749316,1.0,0.9653588414005163,0.7232105611301524,0.7402068144911538,0.8762394080795026,0.7515715904785767,0.7767822095000501,0.8905513659977763,0.7390391048879252,0.8950994847203183,0.7298156493389991,0.8167819096611357,0.8168257364223993,0.9288451521382486,0.7044714207490549,0.669674217143218,0.6701063598250405,0.9915757261646732
QT_MAT_BAS_MASC,0.8332152553405985,0.7393565652600699,0.9653588414005163,1.0,0.722283753681263,0.7406396905406363,0.8763179525235899,0.8063490672500031,0.7281340807992316,0.9159823415173579,0.6775377523373052,0.9148695400785802,0.7980715303745982,0.8424694166390553,0.8424862365851584,0.9455874361943205,0.7823446785858768,0.7199412146859454,0.7203348683258463,0.9910236767374236
QT_MAT_BAS_ND,0.6142915608451338,0.5536857485640864,0.7232105611301524,0.722283753681263,1.0,0.3993486569764723,0.3534105787208712,0.5939694766618309,0.5439640620026859,0.6305404198284165,0.5096081249858604,0.67027070722829,0.5913249869768887,0.5892013691396967,0.589137330021719,0.697724070688928,0.579947194039907,0.5000909783029404,0.500234432149509,0.7290946398848851
QT_MAT_BAS_BRANCA,0.6087584641141415,0.5366638884075815,0.7402068144911538,0.7406396905406363,0.3993486569764723,1.0,0.6399223946488602,0.6044187267401463,0.5666473141196818,0.7361566469725102,0.40270886398263317,0.7549965929768915,0.6372810996689188,0.6572920866209152,0.6574022174038822,0.7323509823869857,0.5866542574878326,0.48263500306044793,0.4830185858409109,0.7469149594887758
QT_MAT_BAS_PARDA,0.6856583092495162,0.6132240843821031,0.8762394080795026,0.8763179525235899,0.3534105787208712,0.6399223946488602,1.0,0.6735766161583594,0.6758613396462471,0.8155840329083869,0.674261303747216,0.7834549902944241,0.6422314571309704,0.7454180972647874,0.7454925599961845,0.8221302100619499,0.630673115256952,0.6386343860089732,0.6391144029702913,0.8839649644243227
QT_MAT_BAS_11_14,0.89813581413527,0.9740399622962086,0.7515715904785767,0.8063490672500031,0.5939694766618309,0.6044187267401463,0.6735766161583594,1.0,0.48959887333147645,0.7564471932901139,0.4371472684148529,0.708606017863649,0.8615130198775055,0.7299471053744329,0.7300261406362357,0.7147445118676892,0.8016970761257133,0.6054426222913136,0.6059739881404579,0.7853570675818975
QT_MAT_BAS_15_17,0.3448587170584539,0.4794011236726806,0.7767822095000501,0.7281340807992316,0.5439640620026859,0.5666473141196818,0.6758613396462471,0.48959887333147645,1.0,0.652644578501991,0.658813626023404,0.6732734444650419,0.34694305697108346,0.6768861210599152,0.6770762687240939,0.6096575271803133,0.2612213203448265,0.3556971454437473,0.35614764697447315,0.7594465079159892
QT_MAT_BAS_D,0.7891805918025969,0.6783615986357597,0.8905513659977763,0.9159823415173579,0.6305404198284165,0.7361566469725102,0.8155840329083869,0.7564471932901139,0.652644578501991,1.0,0.4715968146094202,0.8751883046189938,0.7747087358172432,0.8328955751005912,0.8330217620876742,0.8848719263998344,0.7528401040481144,0.724643251419802,0.7252449707341633,0.9109878730237045
