,IN_LABORATORIO_CIENCIAS,QT_FUNCIONARIOS,IN_NOTURNO,IN_FUND_AF,IN_MED,QT_MAT_FUND,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AF,QT_DOC_MED,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AF,QT_TUR_MED,QT_MAT_BAS
IN_LABORATORIO_CIENCIAS,1.0,0.309252833554392,0.24592598174793992,0.4291840570639747,0.6641699090155176,0.29294354314575055,0.49791619215040755,0.5646549645581903,0.5681879533043238,0.5396416607186179,0.4262488701810057,0.4172466958443457,0.3043413208579007,0.48046227952825604,0.48904394640179294,0.6358089168210009,0.5204393989278833,0.4867347285090127,0.4634409628304116,0.4845836908383822,0.33019323534807055,0.5042779640627166,0.5218336167306721,0.3841366349587335,0.3856543674442891,0.48010581661921603,0.17372806130206683,0.4975777179039511,0.5683941443606835,0.5602374088120446
QT_FUNCIONARIOS,0.309252833554392,1.0,0.346171213906315,0.3003081523530405,0.34440719013881194,0.37144705150471163,0.35397433893730923,0.4494559299739314,0.5610349135002706,0.5706271421183603,0.5114424484910013,0.4606064176174867,0.38948828765111543,0.35929478430412876,0.38455915993321343,0.47612979178129716,0.5454447540308369,0.326483415755742,0.4743051968275631,0.6413327722666207,0.3480721166946678,0.33640105396532666,0.49233172913197765,0.18244128750795607,0.18125021565202168,0.5877409313494627,0.3149942976985892,0.35228316870932247,0.46650936860633674,0.5711932200028275
IN_NOTURNO,0.24592598174793992,0.346171213906315,1.0,0.403696370437462,0.3329264456252459,0.48024063864728184,0.3967979795383109,0.2965085745773113,0.5809902160222313,0.5721897285913446,0.515466347827927,0.3508477012059901,0.3189819507458839,0.4133847682328736,0.42472297976386464,0.41878884089150625,0.5621026604752691,0.3767304165639055,0.6906282387240774,0.4699688068987015,0.4726594077342238,0.4063750350325717,0.2642505828387782,0.3966740770267307,0.3986486129073285,0.5909839568376017,0.43913329371148324,0.4005671118240867,0.2924035744490275,0.5825796679128208
IN_FUND_AF,0.4291840570639747,0.3003081523530405,0.403696370437462,1.0,0.5044114960931942,0.5981030370162048,0.7955351670276252,0.27900898304893484,0.5524219349117551,0.5542699913576324,0.4491496633744104,0.3580608682354218,0.3170138767449279,0.45755911967146656,0.7697424953166948,0.5045757844610823,0.3656855414030644,0.4285669024810339,0.508909465123475,0.4408928647378356,0.69646560833628,0.8735938375512541,0.2489724660124462,0.4110413608993191,0.4104537030517117,0.466752359529401,0.4570414012190779,0.826482004413246,0.27270330809693644,0.5588029556946391
IN_MED,0.6641699090155176,0.34440719013881194,0.3329264456252459,0.5044114960931942,1.0,0.23932068702237083,0.5370711417684462,0.7374040956022114,0.6361336813006355,0.5835563786831833,0.4359272516526749,0.4758651635075589,0.332972444076298,0.5756235868204251,0.5012018315869847,0.7817719709740252,0.6129637569418853,0.5090886620697757,0.5613806435109941,0.5214952019161446,0.307761003263341,0.5697766635287518,0.7011177403304801,0.43464756394921494,0.434421881835127,0.48989853236989067,0.07572646627260188,0.5150936255187181,0.7482556349786951,0.6174043980394628
QT_MAT_FUND,0.29294354314575055,0.37144705150471163,0.48024063864728184,0.5981030370162048,0.23932068702237083,1.0,0.7608653750116685,0.1688781486183326,0.7098962526988978,0.74414021252116,0.7183457531180191,0.38051814197294387,0.38082313271453283,0.4363334915789134,0.8263174775380606,0.3809223646538225,0.3407631142615568,0.5125994869339189,0.5954768833294878,0.4742549078915005,0.9166812055634922,0.7029533666026482,0.08924268405252937,0.3620721214736251,0.3643311888269673,0.7158392078992439,0.9342100614618628,0.7570717281443686,0.13881606746458505,0.733287783207019
QT_MAT_FUND_AF,0.49791619215040755,0.35397433893730923,0.3967979795383109,0.7955351670276252,0.5370711417684462,0.7608653750116685,1.0,0.4029937823608684,0.7349356136552658,0.7218386607241343,0.6669208910579337,0.42628830417638364,0.3651678998293736,0.508836277331265,0.9641058646515297,0.6445530752798536,0.47106943320979944,0.527144162044614,0.6567971121143008,0.489773894002633,0.7305424548655369,0.9349111803169162,0.3091412887957449,0.3946441651972996,0.3957238035079505,0.5908618541780205,0.540154056821388,0.9741535725843814,0.37522816823242944,0.7360097308762786
QT_MAT_MED,0.5646549645581903,0.4494559299739314,0.2965085745773113,0.27900898304893484,0.7374040956022114,0.1688781486183326,0.4029937823608684,1.0,0.7229075451383901,0.6876812448942784,0.5387361531036441,0.601413457096904,0.36173147615120244,0.6024027666816935,0.40046630588228965,0.9168891550916165,0.7229526734976258,0.6016741250818552,0.5833307342750969,0.6769920555258577,0.16236121587160346,0.3718314381981323,0.894781319458492,0.4367106711149918,0.4377428303863289,0.5905155775215473,0.011230368588039472,0.34896608490501946,0.9857961333630264,0.7133131748042127
QT_MAT_BAS_FEM,0.5681879533043238,0.5610349135002706,0.5809902160222313,0.5524219349117551,0.6361336813006355,0.7098962526988978,0.7349356136552658,0.7229075451383901,1.0,0.9606381988762677,0.8326097350622675,0.6856643167174462,0.5660181683713105,0.744367735798244,0.7791638849149786,0.8450579978110039,0.8499581019186113,0.7536988593684263,0.8776665753476482,0.7864997572366098,0.6508075333710152,0.6796612610703969,0.6056143451363362,0.5486589825259701,0.5504085609242706,0.9123171110129499,0.5548922270699013,0.6939495221181496,0.6937015238502672,0.9911931137418568
QT_MAT_BAS_MASC,0.5396416607186179,0.5706271421183603,0.5721897285913446,0.5542699913576324,0.5835563786831833,0.74414021252116,0.7218386607241343,0.6876812448942784,0.9606381988762677,1.0,0.8304694760603091,0.6967667887611549,0.5311557232830665,0.7430615524230604,0.7808868470341033,0.8342418016054539,0.7926700955691078,0.8033517837091534,0.8259193246925282,0.8303597584503911,0.6901680243848238,0.6774957620073419,0.6350388219535863,0.6146021433156248,0.6163218243068832,0.942725025274616,0.6124275009911703,0.6937701894816439,0.6728482702190484,0.9889657911576796
