,QT_SALAS_EXISTENTES,IN_EQUIP_RETROPROJETOR,IN_NOTURNO,IN_FUND,IN_FUND_AF,QT_MAT_BAS,QT_MAT_FUND_AF,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AF,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AF,QT_MAT_FUND
QT_SALAS_EXISTENTES,1.0,0.4874780864540586,0.2566867180513254,0.16190862281625043,0.2449805729317887,0.4791141861215283,0.282340805315362,0.4683819333530763,0.4811133978864892,0.4355574342385436,0.30284794442956964,0.3352221313774073,0.27799992349985486,0.3704977598977744,0.44274065328211887,0.37423488717633224,0.2671238229485278,0.5339846274429215,0.4177323859698491,0.3015545725191472,0.40580523106070865
IN_EQUIP_RETROPROJETOR,0.4874780864540586,1.0,0.3368899555492206,0.30014236974745434,0.34022718476369224,0.35163247343813225,0.3225502049218807,0.35816842629697754,0.33697627315105355,0.3389187558386488,0.20727952882996895,0.33852494280108936,0.09600733859059851,0.359184364705977,0.2577473341848826,0.3859154551827286,0.3096392125046375,0.3310365999225499,0.37503958904650453,0.3282565998069495,0.4084494134823703
IN_NOTURNO,0.2566867180513254,0.3368899555492206,1.0,0.38728445801681805,0.403696370437462,0.5825796679128208,0.3967979795383109,0.5809902160222313,0.5721897285913446,0.515466347827927,0.4133847682328736,0.42472297976386464,0.3767304165639055,0.6906282387240774,0.4699688068987015,0.4726594077342238,0.4063750350325717,0.5909839568376017,0.43913329371148324,0.4005671118240867,0.48024063864728184
IN_FUND,0.16190862281625043,0.30014236974745434,0.38728445801681805,1.0,0.3944013161197373,0.30169312684451743,0.3137601168952314,0.28684846239479916,0.31199863359785496,0.2932355457560854,0.1930548241675612,0.3926667843594873,0.24554395578820812,0.25077178497236896,0.16878930959674857,0.6625450425395323,0.3636875500316506,0.3246550973312993,0.6865372249781814,0.35169241437634086,0.6072651656951513
IN_FUND_AF,0.2449805729317887,0.34022718476369224,0.403696370437462,0.3944013161197373,1.0,0.5588029556946391,0.7955351670276252,0.5524219349117551,0.5542699913576324,0.4491496633744104,0.45755911967146656,0.7697424953166948,0.4285669024810339,0.508909465123475,0.4408928647378356,0.69646560833628,0.8735938375512541,0.466752359529401,0.4570414012190779,0.826482004413246,0.5981030370162048
QT_MAT_BAS,0.4791141861215283,0.35163247343813225,0.5825796679128208,0.30169312684451743,0.5588029556946391,1.0,0.7360097308762786,0.9911931137418568,0.9889657911576794,0.8398792192314781,0.7511562474851788,0.7877427864135942,0.7848717272757718,0.8617377400131315,0.8152378000375482,0.67604973346738,0.6853959124781986,0.9358954185512592,0.58784311553623,0.7007732079193103,0.733287783207019
QT_MAT_FUND_AF,0.282340805315362,0.3225502049218807,0.3967979795383109,0.3137601168952314,0.7955351670276252,0.7360097308762786,1.0,0.7349356136552658,0.7218386607241343,0.6669208910579337,0.508836277331265,0.9641058646515297,0.527144162044614,0.6567971121143008,0.489773894002633,0.7305424548655369,0.9349111803169162,0.5908618541780205,0.540154056821388,0.9741535725843814,0.7608653750116685
QT_MAT_BAS_FEM,0.4683819333530763,0.35816842629697754,0.5809902160222313,0.28684846239479916,0.5524219349117551,0.9911931137418568,0.7349356136552658,1.0,0.9606381988762677,0.8326097350622675,0.744367735798244,0.7791638849149786,0.7536988593684263,0.8776665753476482,0.7864997572366098,0.6508075333710152,0.6796612610703969,0.9123171110129499,0.5548922270699013,0.6939495221181496,0.7098962526988979
QT_MAT_BAS_MASC,0.4811133978864892,0.33697627315105355,0.5721897285913446,0.31199863359785496,0.5542699913576324,0.9889657911576794,0.7218386607241343,0.9606381988762677,1.0,0.8304694760603091,0.7430615524230604,0.7808868470341033,0.8033517837091534,0.8259193246925282,0.8303597584503911,0.6901680243848238,0.6774957620073419,0.942725025274616,0.6124275009911703,0.6937701894816439,0.74414021252116
QT_MAT_BAS_ND,0.4355574342385436,0.3389187558386488,0.515466347827927,0.2932355457560854,0.4491496633744104,0.8398792192314781,0.6669208910579337,0.8326097350622675,0.8304694760603091,1.0,0.2846423248802336,0.7153194367731154,0.5398579722138934,0.7451209728523246,0.6284670005958463,0.6214718980415191,0.5823371585451261,0.7826260770855811,0.5870157318912624,0.622134153027542,0.7183457531180187
QT_MAT_BAS_PARDA,0.30284794442956964,0.20727952882996895,0.4133847682328736,0.1930548241675612,0.45755911967146656,0.7511562474851788,0.508836277331265,0.744367735798244,0.7430615524230604,0.2846423248802336,1.0,0.5408260460713836,0.7455152975554076,0.63065678950751,0.655807500623437,0.45590621694330186,0.523763075257657,0.7036166507034816,0.33698437316170626,0.5012777331216812,0.4363334915789134
QT_MAT_BAS_11_14,0.3352221313774073,0.33852494280108936,0.42472297976386464,0.3926667843594873,0.7697424953166948,0.7877427864135942,0.9641058646515297,0.7791638849149786,0.7808868470341033,0.7153194367731154,0.5408260460713836,1.0,0.5962040204778111,0.6691248403008621,0.5351287203038382,0.7880863168610706,0.9055624997795887,0.6683003802168359,0.6376852605114482,0.9443584933491312,0.8263174775380606
