Ano,TP_DEPENDENCIA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,QT_SALAS_EXISTENTES,QT_SALAS_UTILIZADAS,QT_COMP_ALUNO,QT_COMPUTADOR,QT_FUNCIONARIOS,IN_FUND_AI,IN_MED,QT_MAT_BAS,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND_AF,QT_DOC_MED,QT_TUR_BAS,QT_TUR_FUND_AF,QT_TUR_MED,QT_MAT_BAS_BRANCA,QT_MAT_PROF,QT_MAT_PROF_TEC,IN_BIBLIOTECA,IN_ENERGIA_GERADOR,QT_EQUIP_DVD,QT_EQUIP_TV,QT_EQUIP_MULTIMIDIA,QT_EQUIP_VIDEOCASSETE,QT_EQUIP_FAX,QT_COMP_ADMINISTRATIVO,QT_DOC_PROF,QT_DOC_PROF_TEC,QT_TUR_PROF,QT_TUR_PROF_TEC,IN_PROF_TEC,QT_DOC_ESP,QT_DOC_ESP_CC,QT_EQUIP_IMPRESSORA,QT_EQUIP_IMPRESSORA_MULT,IN_MEDIACAO_EAD,IN_EAD,QT_MAT_BAS_EAD,IN_EJA_MED,QT_MAT_BAS_PRETA,QT_MAT_BAS_INDIGENA,QT_DOC_EJA_MED,QT_TUR_EJA_MED,QT_MAT_EJA_MED,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA,QT_SALAS_UTILIZADAS_DENTRO,QT_SALAS_UTILIZA_CLIMATIZADAS,QT_EQUIP_LOUSA_DIGITAL,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,QT_PROF_SAUDE,QT_PROF_PEDAGOGIA,IN_EXAME_SELECAO,IN_RESERVA_PPI,IN_RESERVA_RENDA,IN_RESERVA_PUBLICA,IN_RESERVA_PCD,IN_RESERVA_OUTROS,IN_TABLET_ALUNO,QT_PROF_MONITORES,IN_PERIODOS_SEMESTRAIS,IN_ORGAO_GREMIO_ESTUDANTIL,IN_PROF,QT_MAT_MED_INT,QT_PROF_BIBLIOTECARIO,IN_MODULOS,QT_DOC_EJA
2008,-0.5022273124509479,0.6663644522141444,0.4986698252906107,0.47241843699849684,0.46090910092629545,0.4504347540549305,0.40014795070202835,0.5412716488581506,-0.4047207107168883,0.8147915073357098,0.681569546999899,0.5374212680545769,1.0,0.7086224588396918,0.6250523319674559,0.5866702033654557,0.4947988292251115,0.5555395739810902,0.9529818998765924,0.5773468677975001,0.5451143951289934,0.6425106204903179,0.5337474648036399,0.5326145651009848,0.8852609813561299,0.567034666757257,0.5110152121676241,0.9880611250057615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,-0.4973541491226653,0.6713562043535061,,0.42052918741381995,0.42512212977380465,0.42214591965501286,0.401861863683482,0.4492756657647062,-0.43344427338337044,0.8062081282247434,0.7054238042841229,0.5272304277074378,1.0,0.7351107655552713,0.6467366243630228,0.6533834990500451,0.5113622692139658,0.5431865502300526,0.9294490211052883,0.6612939454536166,0.605955210002244,0.6379451590693966,0.5236495632176474,0.5032792266429964,0.8566042268333193,0.5901810129785305,0.4898546495415832,0.9851137046771633,0.42098334746892246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,-0.4882521147512025,0.6410322054299505,,0.45309297003371624,0.4380331417200775,0.4420359817605084,0.4314454132349765,0.5507543490398986,-0.44309190694297984,0.7815450716273022,0.7186126682167796,0.5220679559130735,1.0,0.7526257864093341,0.6613235858441295,0.6917859248931647,0.4920318109499434,0.5358175055985126,0.8807657219739656,0.7657859152427922,0.6264819470779167,0.6488334258808275,0.6120351178813023,0.4645197438485802,0.89469327975826,0.6008986535386183,0.45867487314802796,0.982552659210419,0.4744926626517898,0.4098152380910351,0.4098152380910351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-0.4723558683713455,0.6335126808798621,,0.4613849558582904,,,,0.5468025461701762,-0.44768768804722403,0.7604837984843903,0.7411495299038766,0.5185971567924463,1.0,0.7676052937253086,0.6948782300515102,0.7170950684973638,0.5303163667052334,0.5228212506600362,0.8945104916951602,0.7673998035751405,0.6288424880717357,0.6693305275343407,0.6118052856079376,0.4911354948331375,0.8668718378959641,0.5878859022983979,0.4532486265905154,0.9833862710131882,0.5244201558948004,,,0.4071515049895493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,-0.46866714650008695,0.6005518287523208,,0.41418294031828845,,0.4160471989321531,0.4267082801957932,0.5144875746272007,-0.44429216909333274,0.780472982607414,0.7235628399599698,0.49674684148217374,1.0,0.7483747996499307,0.6821495718619204,0.5952437271686735,0.6425088318180189,0.5110538382844823,0.8933066380237873,0.7311588648182608,0.6422333719647787,0.6315819620334361,0.5687169151457125,0.4541223497317496,0.8364113003307247,0.5553138777390768,0.4286455290077449,0.9856005274728415,0.6100152906699665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,-0.4579444581820969,0.5751147957717421,,0.40220029189829776,,0.4113493757378303,0.4256435503070466,0.597401634343866,-0.4269321624272665,0.742437159392971,0.7346809656674735,0.4217287924982918,1.0,0.7578281678095155,0.6915408368729707,0.5870895203756306,0.6432312415193887,0.432825248352374,0.8850849961230077,0.813787073752206,0.6441065957495523,0.6557120504537104,0.687290123900641,,0.9366251943245787,0.5866734793770009,,0.9918983554853434,0.5738347965211794,0.43848154386149224,0.4430034673427701,,0.4282824783105985,0.4136788017161164,0.41450377600748395,0.46494852473198967,0.43949491991976986,0.4319465891261522,0.46564096698057217,0.41982617818601786,0.4328632648368204,0.42686407574808644,0.4416358250789765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,-0.4569009502865506,0.5392154642975765,,0.44296430758898575,,0.45618710488557845,0.46776793967128577,0.6907418076250893,-0.4009414376812891,0.7304302714322779,0.7167652730606028,,1.0,0.7331242762974894,0.6831693884457017,0.530475283644301,0.6599882904941619,,0.8898673279453188,0.766193474693965,0.7136798536821487,0.585632983538915,0.7378514735534301,,0.921953843272486,0.5945424640609585,,0.9916887874109683,0.5476045858998014,0.5130755744002373,0.5313928681799728,,0.4702182691965204,0.44649864056800703,0.450240448784578,0.47264916222001246,0.4717114537059572,0.43394920043973156,0.5095270646250379,0.47864692770089146,0.4927950781063178,0.5168014845440975,0.5353563593811239,0.5585366186507179,0.42009653321923895,0.42009653321923895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,-0.4597414054529148,0.5122201529995287,,,,,0.47072094451836266,0.6950383507660383,,0.711374065686902,0.7218816194223516,,1.0,0.7245971540497899,0.7067570773367982,0.5072567950759336,0.69308822362211,,0.8910625896177874,0.7499084372162161,0.7266940449707731,0.5626932283534267,0.7192163260151971,,0.9250728481312761,0.5742641561825362,,0.9913561204203404,0.6181190277915334,0.4857363078592789,0.5065569052774437,,,,0.44933830251438617,0.5063014851221236,,,0.5310829537498549,0.4977363268176999,0.5037927368131998,0.48152466075149347,0.4987781368210492,0.44702445949949954,0.5144018034908353,0.5144018034908353,0.45984806424579233,0.48883361916191137,0.492164048114154,0.492164048114154,0.49216404811415404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,-0.46053909391230563,0.5055030606579858,,0.42188886524175395,0.4426915529815937,,0.4670949662384505,0.7044983115830856,,0.701461677169253,0.6895961764963103,,1.0,0.6677937040266564,0.6983050196777196,0.43430194849742215,0.6344743889093579,,0.9050065178886931,0.577779417311281,0.6762802302964985,0.5345948901110471,0.7083040738345613,,0.9382122137528125,0.5567799017306999,,0.9879222007379018,0.6603590390716578,,,,,,0.43769482009797395,0.5129616966774422,0.44535108178506483,,0.5390458008041115,0.4352074750887146,0.44241784123553757,,,,0.5300931575379754,0.5300931575379754,0.4639863726443417,0.49219565833880363,0.5017206006279347,0.5017206006279347,0.5017206006279346,0.5344088762150594,0.4557421009765002,0.4474186185639263,0.4943997931854427,0.4437193792934575,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,-0.45656288528890854,0.4961335379370139,,0.40521344713916413,0.462166402426945,0.5581333916817284,0.5604285982808014,0.6762838336794158,,0.6960571467966084,0.7248565369113359,,1.0,0.7238352091013558,0.7170320304452225,0.4880555804128975,0.6570403064252226,,0.9285708429096925,0.7532822051239348,0.7263262056740875,0.5827763805209688,0.7252257614742458,,0.899933748158777,0.5946057745589273,,0.9850403992857946,0.6619646430766143,0.4973814394490577,0.4973814394490577,,,,0.4536441844487599,0.5429168817786912,,,0.5507839415683894,0.5030605516876675,0.5030605516876675,0.4954822449911712,0.4954822449911712,,0.5241925147597062,0.5241925147597062,,0.4854939558776766,0.49456880583438845,0.49456880583438845,0.49456880583438906,0.5602496816797796,0.48398664497221316,0.4563365999642164,0.5546883782232624,0.4851086695142123,0.4826960855675027,,,,,,,,,,,,,,,,,,,,,,,,,
