,QT_FUNCIONARIOS,QT_MAT_FUND,QT_MAT_FUND_AF,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PARDA,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AF,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AF,QT_MAT_BAS
QT_FUNCIONARIOS,1.0,0.6450573899158204,0.5505286628783389,0.7179736911818124,0.7330016817589975,0.6077102596218328,0.5532057257416716,0.558667978430416,0.6036414282988276,0.5167641404023059,0.44891896493560485,0.5779759477511114,0.49406835836044644,0.7459026809031861,0.6441329267863457,0.5595930584554767,0.47061392128924046,0.46940774452549366,0.7321425254137557,0.6270817845888845,0.5378533831033044,0.7317315496915577
QT_MAT_FUND,0.6450573899158204,1.0,0.8566232271819152,0.7832982203376455,0.8575393640295768,0.6651640167529154,0.5787244969632755,0.6672985795316277,0.9080056789567493,0.3954998741818196,0.2979376034560561,0.7480706822314259,0.46702609968534425,0.757155329250076,0.943631623040896,0.8148371314036094,0.6227561745966042,0.6226843929949472,0.8166103206324525,0.9664262076095143,0.8373694080240369,0.8267107307281264
QT_MAT_FUND_AF,0.5505286628783389,0.8566232271819152,1.0,0.7221532471074958,0.7675763636157964,0.621423058451836,0.5100791723488239,0.5941691828072914,0.971848612754884,0.5277073561216461,0.3450332239799016,0.65521397404075,0.5025796526085106,0.6671660945618475,0.8157301917452685,0.9358954629597264,0.6051693659242561,0.6052203212900784,0.6677975119287397,0.7535300684040814,0.968990179532552,0.7508725578381651
QT_MAT_BAS_FEM,0.7179736911818124,0.7832982203376455,0.7221532471074958,1.0,0.9649045013451713,0.7723681186665803,0.695578615347934,0.8234912439969684,0.7859974726219178,0.7929847070703973,0.7533327039274527,0.8323295303403806,0.7862818940327106,0.8911344403907032,0.7595179353100011,0.704895573683726,0.707382450207427,0.7073420544382375,0.9333926685731855,0.7329345006025388,0.6887840851746152,0.9916524231887047
QT_MAT_BAS_MASC,0.7330016817589975,0.8575393640295768,0.7675763636157964,0.9649045013451713,1.0,0.7588935794880532,0.70120789241607,0.8336370111352278,0.8348439976868858,0.7377867604920746,0.651473573819668,0.8656290822682894,0.7207969219302527,0.9131342544722231,0.8275700007536263,0.7479997881536853,0.7420412433010007,0.7419373208519073,0.952195281523419,0.8134387568983795,0.7393749781442929,0.9907096113157325
QT_MAT_BAS_ND,0.6077102596218328,0.6651640167529154,0.621423058451836,0.7723681186665803,0.7588935794880532,1.0,0.3425097662399784,0.31999693435124815,0.661104244902746,0.5948582111733596,0.5429968191743123,0.5516774998260165,0.6247771297504621,0.6728666232667615,0.6270551930712828,0.5886905166366692,0.44735364897771995,0.4469892811229121,0.7147775367389257,0.614145394044347,0.585687850232489,0.772614219732202
QT_MAT_BAS_BRANCA,0.5532057257416716,0.5787244969632755,0.5100791723488239,0.695578615347934,0.70120789241607,0.3425097662399784,1.0,0.639905873226467,0.5766918007622179,0.5477502888999437,0.4104049848881177,0.6978493081950333,0.4043493830833775,0.7322455082928843,0.6209723191176216,0.548014595975163,0.6117416155545837,0.612013514343274,0.7061527807202717,0.570515277505388,0.4962536507210659,0.7045226363171236
QT_MAT_BAS_PARDA,0.558667978430416,0.6672985795316277,0.5941691828072914,0.8234912439969684,0.8336370111352278,0.31999693435124815,0.639905873226467,1.0,0.6547850063871516,0.6459113301440107,0.6208413204722518,0.7966500431920814,0.6350895728713991,0.7638526197829767,0.6440374639324572,0.582108633273499,0.6965587657117258,0.6967325381332494,0.80342448095073,0.6331367114498809,0.5766532834666331,0.8357893696880162
QT_MAT_BAS_11_14,0.6036414282988276,0.9080056789567493,0.971848612754884,0.7859974726219178,0.8348439976868858,0.661104244902746,0.5766918007622179,0.6547850063871516,1.0,0.5417517388782864,0.367226981877034,0.7340329617596761,0.518498135253471,0.7368944763507467,0.8733912050090273,0.9277730181177499,0.653614034947794,0.653612198608809,0.7483351433616019,0.8238960212835057,0.9463411115006003,0.816964947067525
QT_MAT_BAS_15_17,0.5167641404023059,0.3954998741818196,0.5277073561216461,0.7929847070703973,0.7377867604920746,0.5948582111733596,0.5477502888999437,0.6459113301440107,0.5417517388782864,1.0,0.7365115934836881,0.6390823120283059,0.7025488166652606,0.678829747626713,0.4058572534986251,0.5244215092002787,0.6147561360601627,0.6150371288658634,0.6401430144260698,0.31692289081447,0.49340713699074373,0.7729273592777705
QT_MAT_BAS_18_MAIS,0.44891896493560485,0.2979376034560561,0.3450332239799016,0.7533327039274527,0.651473573819668,0.5429968191743123,0.4104049848881177,0.6208413204722518,0.367226981877034,0.7365115934836881,1.0,0.4869467877266918,0.8899501929116991,0.6013672864753347,0.29192060695743355,0.33573730068120655,0.48138946832298396,0.4807637327398487,0.6296678974796186,0.24910659928469592,0.3208614749841082,0.7100119419054477
QT_MAT_BAS_D,0.5779759477511114,0.7480706822314259,0.65521397404075,0.8323295303403806,0.8656290822682894,0.5516774998260165,0.6978493081950333,0.7966500431920814,0.7340329617596761,0.6390823120283059,0.4869467877266918,1.0,0.46955808972674445,0.844673785816496,0.7565466075115528,0.6670614235027651,0.8116593204136847,0.8121021667954219,0.8497757939074,0.7308326518851527,0.6370449184266618,0.8560749268576556
QT_MAT_BAS_N,0.49406835836044644,0.46702609968534425,0.5025796526085106,0.7862818940327106,0.7207969219302527,0.6247771297504621,0.4043493830833775,0.6350895728713991,0.518498135253471,0.7025488166652606,0.8899501929116991,0.46955808972674445,1.0,0.6077805012351536,0.43439724801168667,0.46709900551967093,0.46995397165477193,0.4697314726211356,0.6724398219236265,0.4049242615510434,0.472231770537731,0.761113959016295
QT_DOC_BAS,0.7459026809031861,0.757155329250076,0.6671660945618475,0.8911344403907032,0.9131342544722231,0.6728666232667615,0.7322455082928843,0.7638526197829767,0.7368944763507467,0.678829747626713,0.6013672864753347,0.844673785816496,0.6077805012351536,1.0,0.8192789758314637,0.7279046742110089,0.7731826512413738,0.7725216308245625,0.9367024963699011,0.7566909283499277,0.6641600454377381,0.9098540122301452
